[0;5;9]	2370.0
[0;5;10]	2206.0
[0;5;11]	2126.0
[0;5;12]	2090.0
[0;6;-12]	1704.0
[0;6;-11]	1740.0
[0;6;-10]	1914.0
[0;6;-9]	2030.0
[0;6;-8]	2342.0
[0;6;-7]	2774.0
[0;6;-6]	3208.0
[0;6;-5]	3432.0
[0;6;-4]	3955.0
[0;6;-3]	4948.0
[0;6;-2]	7206.0
[0;6;-1]	10737.0
[0;6;0]	29159.0
[0;6;1]	20958.0
[0;6;2]	13375.0
[0;6;3]	7892.0
[0;6;4]	5461.0
[0;6;5]	3867.0
[0;6;6]	3128.0
[0;6;7]	2997.0
[0;6;8]	2976.0
[0;6;9]	2686.0
[0;6;10]	2718.0
[0;6;11]	2280.0
[0;6;12]	2206.0
[0;7;-12]	1843.0
[0;7;-11]	2002.0
[0;7;-10]	2170.0
[0;7;-9]	2488.0
[0;7;-8]	2876.0
[0;7;-7]	3208.0
[0;7;-6]	3421.0
[0;7;-5]	3762.0
[0;7;-4]	4328.0
[0;7;-3]	5500.0
[0;7;-2]	7972.0
[0;7;-1]	11658.0
[0;7;0]	29159.0
[0;7;1]	21569.0
[0;7;2]	15074.0
[0;7;3]	10101.0
[0;7;4]	6429.0
[0;7;5]	4972.0
[0;7;6]	3699.0
[0;7;7]	3128.0
[0;7;8]	2967.0
[0;7;9]	3003.0
[0;7;10]	2775.0
[0;7;11]	2698.0
[0;7;12]	2671.0
[0;8;-12]	2030.0
[0;8;-11]	2275.0
[0;8;-10]	2546.0
[0;8;-9]	2936.0
[0;8;-8]	3208.0
[0;8;-7]	3401.0
[0;8;-6]	3569.0
[0;8;-5]	3918.0
[0;8;-4]	4948.0
[0;8;-3]	6328.0
[0;8;-2]	8342.0
[0;8;-1]	13070.0
[0;8;0]	29159.0
[0;8;1]	21552.0
[0;8;2]	16949.0
[0;8;3]	12004.0
[0;8;4]	7892.0
[0;8;5]	6074.0
[0;8;6]	4666.0
[0;8;7]	3515.0
[0;8;8]	3128.0
[0;8;9]	2976.0
[0;8;10]	3046.0
[0;8;11]	2854.0
[0;8;12]	2686.0
[0;9;-12]	2342.0
