  radius  	  theta   
0.2513682	1.4901621
0.7633140	5.6085283
0.8189278	5.0885772
0.6442090	1.2959070
0.2339495	4.4594908
0.5970663	1.2887511
0.2319807	4.4710099
0.2332225	4.4675193
0.2344742	4.4601889
0.2326705	4.4689155
0.2320358	4.4711845
0.2320358	4.4711845
0.2329281	4.4718826
0.6279070	1.3233086
0.6349009	4.0187951
0.3188523	6.0314914
0.3744617	3.8044687
0.3657699	3.8109264
0.5171335	0.3728023
0.3695740	3.8060395
0.3695740	3.8060395
0.4841189	1.8626154
0.3675717	3.7892843
0.3695740	3.8060395
0.4853690	1.8657919
0.4841189	1.8626154
0.3695740	3.8060395
0.4841189	1.8626154
0.4457516	5.8700484
0.4461701	5.8731900
0.4841189	1.8626154
0.3806035	3.7939967
0.9644921	2.0406215
0.6071732	5.7386077
0.2679398	2.2678634
0.2681737	2.2593811
0.2681550	2.2683695
0.2664626	2.2638840
0.7168541	5.1240249
0.2671076	2.2666242
0.2649117	2.2655770
0.2647716	2.2672002
0.2649117	2.2474605
0.2649677	2.2618245
0.7148479	4.5636869
0.3100299	2.5520553
0.6751436	5.5959968
0.6802373	5.5905688
0.6807481	5.5930298
0.6806204	5.5914241
0.8107815	3.6526251
0.6059436	3.1251167
0.9558712	5.1811844
0.9551033	5.1842038
0.9534027	5.1862808
0.9080653	5.1825458
0.8991565	5.1942744
0.9518546	5.2032279
0.2475676	0.2396337
0.5933553	2.7284558
0.1719392	3.4534830
0.7221518	0.0180293
0.0777359	5.7465489
0.7407717	4.9167147
0.5087123	4.3617523
0.5177973	4.3378413
0.5058924	4.3570399
0.3589382	0.5454154
0.3736858	0.6026622
0.5058704	4.3573890
0.3736858	0.6026622
0.5061664	4.3568654
0.5217988	4.3572145
0.3752778	0.6049311
0.3747801	0.6038839
0.5038555	4.3591343
0.3771706	0.6072000
0.3749792	0.6040585
0.5056074	4.3621014
0.3605151	0.5475098
0.9311944	5.9949442
0.7140834	2.5844661
0.5943587	1.8767700
0.5576907	1.8807493
0.5822943	1.8714817
0.4628064	6.1633859
0.5870250	1.8720402
0.4908692	6.0772365
0.5681945	1.8720402
0.8829222	3.0376757
0.9165399	4.5329691
0.5715471	5.4668425
0.5095254	1.1356857
