  radius  	  theta   
0.9497994	2.3707828
0.9415712	2.3683897
0.9479324	2.3632433
0.9413929	2.3584633
0.9442760	2.3878452
0.9409479	2.3745734
0.5858540	1.2623233
0.6149677	1.0727510
0.6213611	1.0917212
0.8712807	4.8770573
0.8710567	4.8782939
0.8713585	4.8769256
0.8734749	4.8740318
0.8726540	4.8774207
0.8735087	4.8810697
0.8733370	4.8754822
0.8712987	4.8774423
0.8711731	4.8769735
0.9401291	3.6568302
0.9438483	3.6610331
0.9384599	3.6559411
0.9417868	3.6557120
0.9473706	3.6760226
0.9403537	3.6558621
0.9422303	3.6647537
0.9360707	3.6571368
0.9323001	3.6607869
0.9370654	3.6734639
0.9428497	3.6764119
0.9371984	3.6589404
0.9422870	3.6647214
0.9423034	3.6648776
0.9421833	3.6709556
0.9441855	3.6691037
0.9444066	3.6610586
0.9365830	3.6561020
0.9364965	3.6561774
0.9364965	3.6561599
0.9387076	3.6547876
0.9404258	3.6685003
0.1252118	1.9306574
0.6307305	5.6173513
0.8622360	0.2046602
0.7928555	4.7706196
0.7814938	4.7479069
0.7829529	4.7631470
0.7824046	4.7471026
0.4214065	2.0946571
0.5543690	1.2856692
0.7889059	4.7606314
0.2605895	4.1721431
0.3521066	1.5821723
0.9383686	1.3538975
0.9385267	1.3523126
0.9384060	1.3530072
0.9371186	1.3553186
0.9388193	1.3527830
0.9382591	1.3522180
0.9277389	1.3473352
0.9381953	1.3548296
0.9286036	1.3476302
0.9318210	1.3480601
0.9360767	1.3548810
0.4350371	1.9484552
0.9356006	1.3320791
0.5490482	5.6326197
0.3504894	1.5660935
0.4772760	3.9977672
0.9508760	0.0031813
0.6986987	2.4341823
0.5983577	5.0859940
0.3206717	3.1597661
0.5649039	5.0904019
0.9702787	5.2761329
0.9703600	5.2876758
0.9631153	5.2881451
0.9711199	5.2854482
0.9699602	5.2710984
0.9625264	5.2871628
0.9661979	5.2970420
0.9790767	5.2808803
0.9633915	5.2840867
0.2883745	2.0873843
0.9832726	4.9197097
0.9720838	4.9253672
0.9717632	4.9387198
0.9717038	4.9388261
0.9845389	4.9362411
0.7658781	5.2576693
0.4676801	5.7172924
0.6076447	4.9832325
0.5751694	0.9835030
0.5794927	0.9739069
0.5777435	0.9556192
0.5845188	0.9465300
0.6817991	3.0129582
0.6810050	3.0113753
0.6762227	2.9997012
0.6832682	3.0169438
0.3176998	2.3927845
0.3593782	0.1012250
0.3209011	2.0667146
0.3237331	5.2555636
0.9854992	1.3634667
0.9808499	1.3524473
0.9804731	1.3620640
0.9817167	1.3629630
0.9862643	1.3500272
0.9837772	1.3573702
0.4838284	2.5001417
0.9380217	3.8027983
0.2591386	2.6661840
0.5289631	0.1962339
0.8342474	2.7678359
0.4746840	3.0989984
0.9085951	0.1437182
0.5427887	0.1925755
